V1,V2,V3
-126.225,48,-1847
-126.208267716535,48,-1848
-126.191535433071,48,-1841
-126.174803149606,48,-1823
-126.158070866142,48,-1796
-126.141338582677,48,-1773
-126.124606299213,48,-1727
-126.107874015748,48,-1660
-126.091141732283,48,-1609
-126.074409448819,48,-1593
-126.057677165354,48,-1585
-126.04094488189,48,-1580
-126.024212598425,48,-1574
-126.007480314961,48,-1560
-125.990748031496,48,-1551
-125.974015748031,48,-1550
-125.957283464567,48,-1486
-125.940551181102,48,-1503
-125.923818897638,48,-1511
-125.907086614173,48,-1474
-125.890354330709,48,-1435
-125.873622047244,48,-1438
-125.85688976378,48,-1411
-125.840157480315,48,-1398
-125.82342519685,48,-1159
-125.806692913386,48,-916
-125.789960629921,48,-947
-125.773228346457,48,-946
-125.756496062992,48,-926
-125.739763779528,48,-893
-125.723031496063,48,-861
-125.706299212598,48,-810
-125.689566929134,48,-719
-125.672834645669,48,-623
-125.656102362205,48,-494
-125.63937007874,48,-323
-125.622637795276,48,-259
-125.605905511811,48,-219
-125.589173228346,48,-202
-125.572440944882,48,-184
-125.555708661417,48,-171
-125.538976377953,48,-165
-125.522244094488,48,-164
-125.505511811024,48,-165
-125.488779527559,48,-166
-125.472047244094,48,-166
-125.45531496063,48,-187
-125.438582677165,48,-229
-125.421850393701,48,-317
-125.405118110236,48,-549
-125.388385826772,48,-638
-125.371653543307,48,-645
-125.354921259843,48,-622
-125.338188976378,48,-433
-125.321456692913,48,-325
-125.304724409449,48,-261
-125.287992125984,48,-210
-125.27125984252,48,-168
-125.254527559055,48,-167
-125.237795275591,48,-165
-125.221062992126,48,-162
-125.204330708661,48,-161
-125.187598425197,48,-158
-125.170866141732,48,-154
-125.154133858268,48,-150
-125.137401574803,48,-145
-125.120669291339,48,-140
-125.103937007874,48,-134
-125.087204724409,48,-128
-125.070472440945,48,-124
-125.05374015748,48,-121
-125.037007874016,48,-117
-125.020275590551,48,-114
-125.003543307087,48,-111
-124.986811023622,48,-105
-124.970078740157,48,-101
-124.953346456693,48,-98
-124.936614173228,48,-93
-124.919881889764,48,-86
-124.903149606299,48,-79
-124.886417322835,48,-70
-124.86968503937,48,-64
-124.852952755906,48,-62
-124.836220472441,48,-56
-124.819488188976,48,-47
-124.802755905512,48,-41
-124.786023622047,48,-36
-124.769291338583,48,-33
-124.752559055118,48,-32
-124.735826771654,48,-31
-124.719094488189,48,-29
-124.702362204724,48,-19
-124.68562992126,48,-4
-124.668897637795,48,55
-124.652165354331,48,118
-124.635433070866,48,132
-124.618700787402,48,125
-124.601968503937,48,91
-124.585236220472,48,90
-124.568503937008,48,80
-124.551771653543,48,50
-124.535039370079,48,95
-124.518307086614,48,89
-124.50157480315,48,100
-124.484842519685,48,84
-124.46811023622,48,112
-124.451377952756,48,142
-124.434645669291,48,124
-124.417913385827,48,88
-124.401181102362,48,93
-124.384448818898,48,105
-124.367716535433,48,155
-124.350984251968,48,299
-124.334251968504,48,362
-124.317519685039,48,259
-124.300787401575,48,362
-124.28405511811,48,270
-124.267322834646,48,272
-124.250590551181,48,390
-124.233858267717,48,426
-124.217125984252,48,371
-124.200393700787,48,366
-124.183661417323,48,439
-124.166929133858,48,628
-124.150196850394,48,692
-124.133464566929,48,716
-124.116732283465,48,633
-124.1,48,798
-124.083267716535,48,743
-124.066535433071,48,741
-124.049803149606,48,855
-124.033070866142,48,756
-124.016338582677,48,869
-123.999606299213,48,725
-123.982874015748,48,959
-123.966141732283,48,758
-123.949409448819,48,721
-123.932677165354,48,818
-123.91594488189,48,750
-123.899212598425,48,646
-123.882480314961,48,604
-123.865748031496,48,944
-123.849015748031,48,978
-123.832283464567,48,963
-123.815551181102,48,1106
-123.798818897638,48,877
-123.782086614173,48,1277
-123.765354330709,48,1232
-123.748622047244,48,1376
-123.73188976378,48,1357
-123.715157480315,48,1247
-123.69842519685,48,952
-123.681692913386,48,816
-123.664960629921,48,736
-123.648228346457,48,617
-123.631496062992,48,615
-123.614763779528,48,471
-123.598031496063,48,256
-123.581299212598,48,520
-123.564566929134,48,840
-123.547834645669,48,1204
-123.531102362205,48,1474
-123.51437007874,48,1431
-123.497637795276,48,1276
-123.480905511811,48,1450
-123.464173228346,48,1420
-123.447440944882,48,1309
-123.430708661417,48,1167
-123.413976377953,48,1059
-123.397244094488,48,800
-123.380511811024,48,712
-123.363779527559,48,677
-123.347047244094,48,602
-123.33031496063,48,733
-123.313582677165,48,795
-123.296850393701,48,882
-123.280118110236,48,866
-123.263385826772,48,903
-123.246653543307,48,841
-123.229921259843,48,840
-123.213188976378,48,906
-123.196456692913,48,804
-123.179724409449,48,647
-123.162992125984,48,604
-123.14625984252,48,533
-123.129527559055,48,530
-123.112795275591,48,401
-123.096062992126,48,423
-123.079330708661,48,483
-123.062598425197,48,487
-123.045866141732,48,456
-123.029133858268,48,399
-123.012401574803,48,312
-122.995669291339,48,300
-122.978937007874,48,353
-122.962204724409,48,358
-122.945472440945,48,361
-122.92874015748,48,271
-122.912007874016,48,155
-122.895275590551,48,60
-122.878543307087,48,34
-122.861811023622,48,148
-122.845078740157,48,196
-122.828346456693,48,221
-122.811614173228,48,165
-122.794881889764,48,138
-122.778149606299,48,64
-122.761417322835,48,109
-122.74468503937,48,75
-122.727952755906,48,111
-122.711220472441,48,-1
-122.694488188976,48,-22
-122.677755905512,48,-40
-122.661023622047,48,-65
-122.644291338583,48,-65
-122.627559055118,48,-71
-122.610826771654,48,-88
-122.594094488189,48,-91
-122.577362204724,48,-61
-122.56062992126,48,-38
-122.543897637795,48,-14
-122.527165354331,48,71
-122.510433070866,48,9
-122.493700787402,48,-14
-122.476968503937,48,-7
-122.460236220472,48,1
-122.443503937008,48,82
-122.426771653543,48,48
-122.410039370079,48,50
-122.393307086614,48,129
-122.37657480315,48,129
-122.359842519685,48,70
-122.34311023622,48,-66
-122.326377952756,48,-160
-122.309645669291,48,-154
-122.292913385827,48,-137
-122.276181102362,48,-130
-122.259448818898,48,-128
-122.242716535433,48,-80
-122.225984251968,48,-10
-122.209251968504,48,1
-122.192519685039,48,27
-122.175787401575,48,11
-122.15905511811,48,0
-122.142322834646,48,-1
-122.125590551181,48,38
-122.108858267717,48,99
-122.092125984252,48,115
-122.075393700787,48,93
-122.058661417323,48,86
-122.041929133858,48,50
-122.025196850394,48,73
-122.008464566929,48,106
-121.991732283465,48,140
-121.975,48,125
-126.225,47.983286908078,-1867
-126.208267716535,47.983286908078,-1868
-126.191535433071,47.983286908078,-1888
-126.174803149606,47.983286908078,-1858
-126.158070866142,47.983286908078,-1799
-126.141338582677,47.983286908078,-1786
-126.124606299213,47.983286908078,-1718
-126.107874015748,47.983286908078,-1602
-126.091141732283,47.983286908078,-1562
-126.074409448819,47.983286908078,-1572
-126.057677165354,47.983286908078,-1577
-126.04094488189,47.983286908078,-1581
-126.024212598425,47.983286908078,-1581
-126.007480314961,47.983286908078,-1577
-125.990748031496,47.983286908078,-1560
-125.974015748031,47.983286908078,-1567
-125.957283464567,47.983286908078,-1560
-125.940551181102,47.983286908078,-1522
-125.923818897638,47.983286908078,-1523
-125.907086614173,47.983286908078,-1512
-125.890354330709,47.983286908078,-1498
-125.873622047244,47.983286908078,-1470
-125.85688976378,47.983286908078,-1434
-125.840157480315,47.983286908078,-1383
-125.82342519685,47.983286908078,-1287
-125.806692913386,47.983286908078,-1051
-125.789960629921,47.983286908078,-965
-125.773228346457,47.983286908078,-916
-125.756496062992,47.983286908078,-862
-125.739763779528,47.983286908078,-849
-125.723031496063,47.983286908078,-826
-125.706299212598,47.983286908078,-779
-125.689566929134,47.983286908078,-698
-125.672834645669,47.983286908078,-623
-125.656102362205,47.983286908078,-538
-125.63937007874,47.983286908078,-456
-125.622637795276,47.983286908078,-293
-125.605905511811,47.983286908078,-258
-125.589173228346,47.983286908078,-222
-125.572440944882,47.983286908078,-211
-125.555708661417,47.983286908078,-189
-125.538976377953,47.983286908078,-176
-125.522244094488,47.983286908078,-173
-125.505511811024,47.983286908078,-174
-125.488779527559,47.983286908078,-176
-125.472047244094,47.983286908078,-187
-125.45531496063,47.983286908078,-277
-125.438582677165,47.983286908078,-372
-125.421850393701,47.983286908078,-399
-125.405118110236,47.983286908078,-628
-125.388385826772,47.983286908078,-691
-125.371653543307,47.983286908078,-697
