V1,V2,V3
-123.045866141732,44.9832402234637,42
-123.029133858268,44.9832402234637,43
-123.012401574803,44.9832402234637,46
-122.995669291339,44.9832402234637,53
-122.978937007874,44.9832402234637,57
-122.962204724409,44.9832402234637,60
-122.945472440945,44.9832402234637,59
-122.92874015748,44.9832402234637,59
-122.912007874016,44.9832402234637,59
-122.895275590551,44.9832402234637,64
-122.878543307087,44.9832402234637,64
-122.861811023622,44.9832402234637,66
-122.845078740157,44.9832402234637,60
-122.828346456693,44.9832402234637,75
-122.811614173228,44.9832402234637,85
-122.794881889764,44.9832402234637,123
-122.778149606299,44.9832402234637,171
-122.761417322835,44.9832402234637,237
-122.74468503937,44.9832402234637,264
-122.727952755906,44.9832402234637,237
-122.711220472441,44.9832402234637,341
-122.694488188976,44.9832402234637,364
-122.677755905512,44.9832402234637,371
-122.661023622047,44.9832402234637,419
-122.644291338583,44.9832402234637,354
-122.627559055118,44.9832402234637,299
-122.610826771654,44.9832402234637,418
-122.594094488189,44.9832402234637,518
-122.577362204724,44.9832402234637,560
-122.56062992126,44.9832402234637,467
-122.543897637795,44.9832402234637,522
-122.527165354331,44.9832402234637,674
-122.510433070866,44.9832402234637,736
-122.493700787402,44.9832402234637,703
-122.476968503937,44.9832402234637,479
-122.460236220472,44.9832402234637,419
-122.443503937008,44.9832402234637,476
-122.426771653543,44.9832402234637,509
-122.410039370079,44.9832402234637,534
-122.393307086614,44.9832402234637,506
-122.37657480315,44.9832402234637,706
-122.359842519685,44.9832402234637,919
-122.34311023622,44.9832402234637,1040
-122.326377952756,44.9832402234637,1051
-122.309645669291,44.9832402234637,1231
-122.292913385827,44.9832402234637,1040
-122.276181102362,44.9832402234637,907
-122.259448818898,44.9832402234637,1020
-122.242716535433,44.9832402234637,1034
-122.225984251968,44.9832402234637,1288
-122.209251968504,44.9832402234637,1299
-122.192519685039,44.9832402234637,1224
-122.175787401575,44.9832402234637,955
-122.15905511811,44.9832402234637,804
-122.142322834646,44.9832402234637,721
